Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
Private Tour Louvre Museum,Excellent,5 ratings,£108,3 hours,Viator
We Paris,Excellent,5 ratings,£76,2-3 hours,Viator
Paris' Best Flavours,Excellent,5 ratings,£64,2-3 hours,Viator
Louvre Museum Small Group Guided Tour,Excellent,5 ratings,£86,2-3 hours,Viator
Louvre Private Tour,Excellent,5 ratings,£111,2 hours,Viator
Paris Private Tour in a classic French Peugeot 404,Excellent,5 ratings,£103,1-3 hours,Viator
Paris!,Excellent,5 ratings,£116,4 hours,Viator
Canadians in Normandy D-Day beaches Juno Beach and Pegasus Bridge,Excellent,5 ratings,£187,13-14 hours,Viator
Marais Private Walking Tour,Excellent,5 ratings,£166,2 hours,Viator
Rodin Museum Paris 2-Hour Private Guided Tour,Excellent,5 ratings,£216,2 hours,Viator
WW1 Belleau Wood and American Monument in Château-Thierry - Day trip from Paris,Excellent,5 ratings,£169,13-14 hours,Viator
Montmartre Tour Paris,Excellent,5 ratings,£191,2-3 hours,Viator
Montmartre Private Walking Tour,Excellent,5 ratings,£173,2 hours,Viator
Paris: 2-Hour Segway Night Tour,Excellent,5 ratings,£60,2 hours,GetYourGuide
4H Audioguided Tour in E-Scooter in Paris (App + GPS),Excellent,5 ratings,£47,4 hours,Viator
Engagement Proposal in Paris,Excellent,5 ratings,£247,2 hours,Viator
Private Vacation Photography Session with Local Photographer in Paris,Excellent,5 ratings,£225,1 hour,Viator
Walking tour of Paris Covered Passages (English),Excellent,5 ratings,£17,1-2 hours,Viator
1.5-Hour Paris Segway Night Tour,Excellent,5 ratings,£77,1-2 hours,GetYourGuide
Rodin Museum Guided Tour,Excellent,5 ratings,£71,2 hours,GetYourGuide
Impressionists at the Musée d'Orsay: Private Skip-the-Line 2-Hour Tour,Excellent,5 ratings,£276,2 hours,Viator
Opera Garnier Mysteries Private Guided Tour with Skip-the-Line Entrance,Excellent,5 ratings,£135,1-2 hours,Viator
"Saint Germain, Belle Époque. Private tour in Paris",Excellent,5 ratings,£162,3 hours,Viator
"Secret Paris: Cheese, Art, and Local Life",Excellent,5 ratings,£49,3 hours,GetYourGuide
"Versailles Palace, Gardens & Trianon Small Group Guided Day Tour from Paris",Excellent,5 ratings,£225,9 hours,Viator
Loire Valley Castles Private Trip including Wine Tasting from Paris,Excellent,5 ratings,£545,12 hours,Viator
Normandy Private Excursion,Excellent,5 ratings,"£1,153",10 hours,Viator
"Loire Valley Castles VIP Private Tour: Chambord, Chenonceaux, Amboise",Excellent,5 ratings,"£1,106",13 hours,Viator
Private Giverny & Versailles all Day Tour from Paris Including Lunch,Excellent,5 ratings,"£1,336",7 hours,Viator
Paris Jewish History 2-Hour Private Guided Walking Tour,Excellent,4 ratings,£27,2 hours,GetYourGuide
Paris: Belleville Street Art Tour with an Artist,Excellent,4 ratings,£25,2 hours,GetYourGuide
BEST OF ROYAL DAYS & LIFE : 3 audioguided tours,Excellent,4 ratings,£17,4-5 hours,Viator
NO DIET CLUB - Unique Bike and Food tour in Paris !,Excellent,4 ratings,£51,4-5 hours,Viator
"Scandalous Paris, audioguided smartphone tour",Excellent,4 ratings,£9,1-2 hours,Viator
Paris Street Art Walking Tour,Excellent,4 ratings,£52,2 hours,Viator
"Artists in Montparnasse, smartphone audioguided tour",Excellent,4 ratings,£9,1-2 hours,Viator
"BEST OF Artists in Paris, 3 smartphone audioguided tours",Excellent,4 ratings,£17,4-5 hours,Viator
Beer Bike Bar Tour,Excellent,4 ratings,£33,1-2 hours,Viator
Visite de Paris en Vélo électrique,Excellent,4 ratings,£46,4 hours,Viator
Montmartre: The heart of art and bohemia,Excellent,4 ratings,£8,1 hour,Viator
Montmartre to fall in love - Self-Guided Digital tour on Bohemian Hill of Paris,Excellent,4 ratings,£10,1-2 hours,Viator
Discover Secret Passages in Paris,Excellent,4 ratings,£84,3 hours,GetYourGuide
Necropolis of Kings and Queens: Basilica of St. Denis Tour,Excellent,4 ratings,£77,2-3 hours,GetYourGuide
Dessert & Chocolate Cooking Class with a Parisian Chef,Excellent,4 ratings,£110,3 hours,GetYourGuide
Gay Marais Semi-Private Walking Tour,Excellent,4 ratings,£60,2 hours,Viator
"St Chapel, ile de la cité, Louvre, - priority access - Small group of 6",Excellent,4 ratings,£86,4 hours,Viator
Paris Sunrise tour by Segway,Excellent,4 ratings,£67,2 hours,Viator
Super photos in Paris,Excellent,4 ratings,£68,1 hour,Viator
"THE Ultimate Wine and Cheese Tasting (10 cheeses, 10 wines)",Excellent,4 ratings,£91,2 hours,Viator
"See 30+ Top Sights Paris Tour, Fun Guide + Wine Tasting Experience",Excellent,4 ratings,£108,4-5 hours,Viator
Segway tour Monumental,Excellent,4 ratings,£64,2 hours,Viator
Le Marais District & Jewish Quarter Guided Walking Tour - Private Tour,Excellent,4 ratings,£62,2-3 hours,Viator
French Cinema Eiffel Tower / INCEPTION,Excellent,4 ratings,£58,4 hours,Viator
"Eiffel Tower district : Food tasting, Invalides and Rodin's gardens",Excellent,4 ratings,£78,3 hours,Viator
Flavors of Paris Original Tour,Excellent,4 ratings,£99,3-4 hours,Viator
Paris Mona Lisa Tour : Best of the Louvre Experience (Semi-Private Tour),Excellent,4 ratings,£118,2-3 hours,Viator
Versailles Palace & Gardens Exclusive : Guided Tour (Skip-the-Line Access),Excellent,4 ratings,£110,4 hours,Viator
Paris Walking Tour with a Local Guide: Private & 100% Personalized,Excellent,4 ratings,£120,1-8 hours,Viator
Orsay Museum Private Guided Visit,Excellent,4 ratings,£170,2 hours,Viator
Dark Paris Myths & Legends Private Walking Tour,Excellent,4 ratings,£212,2-3 hours,Viator
Louvre private tour in Chinese or English,Excellent,4 ratings,£235,2 hours,Viator
Proposal Photographer in Paris,Excellent,4 ratings,£202,1-3 hours,Viator
Private Montmartre Stroll,Excellent,4 ratings,£247,3 hours,Viator
Paris with Kids Custom Private Half-Day Tour,Excellent,4 ratings,£233,1-210 minutes,Viator
Private Eiffel Tower Guided Climb Tour with Summit,Excellent,4 ratings,£216,2 hours,Viator
Paris: Family-Friendly River Seine Guided Cruise,Excellent,4 ratings,£15,1 hour,GetYourGuide
Paris: Montmartre Street Art Tour with an Artist,Excellent,4 ratings,£29,2 hours,GetYourGuide
The Great Paris Layover: Best of Paris in a Day!,Excellent,4 ratings,£276,4 hours,Viator
Seine River Guided Cruise Champagne Option by Vedettes de Paris,Excellent,4 ratings,£22,1 hour,Viator
"Private or Small Group Paris: 3 Hour Morning Cheese, Art, and Local Life Tour",Excellent,4 ratings,£52,3 hours,Viator
Picasso Museum Paris 2-Hour Private Guided Tour,Excellent,4 ratings,£303,2 hours,Viator
Notre Dame Quarter Kids & Family Tour with skip-the-line Sainte Chapelle,Excellent,4 ratings,£60,2 hours,Viator
Paris Catacombs Kids and Families Tour,Excellent,4 ratings,£413,2 hours,Viator
Tour in 2CV 3H Paris,Excellent,4 ratings,£266,3 hours,Viator
"Montmartre, Paris: The Locals' Favorite Arrondissement",Excellent,4 ratings,£30,3 hours,GetYourGuide
Paris: Art Nouveau Private Walking Tour,Excellent,4 ratings,£27,2 hours,GetYourGuide
"The Best of Paris Food Tour, EXPLORE FOOD TOURS.",Excellent,4 ratings,£88,3 hours,Viator
"Sainte Chapelle, Louvre & Tuk Tuk Ride Family Tour",Excellent,4 ratings,£621,5 hours,Viator
Versailles and the Louvre Tour with Skip-the-Line Access,Excellent,4 ratings,£186,8 hours,Viator
Somme and Ypres Battlefields WWI 2-Day Trip from Paris,Excellent,4 ratings,£717,2 days,Viator
Versailles Palace & Louvre Museum Private Day Tour from Paris,Excellent,4 ratings,£971,8 hours,Viator
Normandy Landing Beaches 2-Day Trip with Utah & Omaha from Paris,Excellent,4 ratings,"£1,037",2 days,Viator
Private wine tour to Champagne region from Paris,Excellent,4 ratings,"£1,042",10 hours,Viator
Private Wine Tour to Burgundy Region from Paris,Excellent,4 ratings,"£1,233",13 hours,Viator
Luxury private day tour to Champagne from Paris,Excellent,4 ratings,"£1,223",11 hours,Viator
D-Day Normandy Landing Beaches Private Round Trip,Excellent,4 ratings,"£1,106",12 hours,Viator
Discover Paris' Marché d’Aligre: 2-Hour Market Tour,Excellent,3 ratings,£64,2 hours,GetYourGuide
Paris: French Fashion History Walking Tour,Excellent,3 ratings,£26,1-2 hours,GetYourGuide
Paris: Street Art Segway Tour of the 13th District,Excellent,3 ratings,£50,2-3 hours,GetYourGuide
The Paris Monuments Tour,Excellent,3 ratings,£38,3-4 hours,Viator
Montmartre: Secret Stories of Paris - self-guided podcast tour,Excellent,3 ratings,£5,40-50 minutes,Viator
The Medieval Heart of Paris - History Walk (Small Group Tour),Excellent,3 ratings,£47,2-3 hours,Viator
Paris at Christmas : Festive Shopping Past & Present,Excellent,3 ratings,£22,2 hours,Viator
Walking tour,Excellent,3 ratings,£46,2 hours,Viator
Visit of the Montmartre district,Excellent,3 ratings,£34,1-2 hours,Viator
The Eiffel Tower: The universal gem of Paris,Excellent,3 ratings,£8,40 minutes,Viator
Scooter 125cc Premium 2 seats,Excellent,3 ratings,£51,1 day,Viator
Montmartre Tour in Paris,Excellent,3 ratings,£19,2 hours,Viator
"Paris Criminal Past, audioguided walking tour",Excellent,3 ratings,£9,1-30 minutes,Viator
Fun stroll in Paris - The nose in the air,Excellent,3 ratings,£8,1-2 hours,Viator
Private Guided Tour in Paris Sainte Chapelle and Ile de la Cité,Excellent,3 ratings,£17,1-2 hours,Viator
Paris Latin Quarter & Left Bank - History Walk (Small Group Tour),Excellent,3 ratings,£43,2-3 hours,Viator
Run & see 10 secrets in Paris at dawn,Excellent,3 ratings,£23,2 hours,Viator
Private Street Art 2-Hour Guided Tour in Paris,Excellent,3 ratings,£44,2 hours,Viator
Explore unique city spots and enjoy a snack,Excellent,3 ratings,£34,1-2 hours,Viator
Visit the Eiffel Tower with Experienced Guide | Elevator to the 2nd Floor,Excellent,3 ratings,£33,2 hours,Viator
Latin Quarter Selfie Tour,Excellent,3 ratings,£25,1-2 hours,Viator
The most beautiful covered passages From Palais-Royal to Grands-boulevards,Excellent,3 ratings,£11,2 hours,Viator
Family Experience : Sacred Heart and Montmartre Tour,Excellent,3 ratings,£32,2 hours,Viator
"Notre-Dame, City Island and St Severin Church Guided Tour",Excellent,3 ratings,£13,1 hour,Viator
Marais semi private walking tour,Excellent,3 ratings,£86,2 hours,Viator
Discover Paris 180 min Segway Tour,Excellent,3 ratings,£82,3 hours,Viator
Visit Paris in a vintage car,Excellent,3 ratings,£69,2 hours,Viator
Segway tour Best of Paris,Excellent,3 ratings,£98,3 hours,Viator
Paris Photoshoot with a Private Travel Photographer | Paris Photo Tours,Excellent,3 ratings,£88,30-60 minutes,Viator
Private Market Tour and Tasting in Paris at the Marche D'Aligre,Excellent,3 ratings,£87,2-3 hours,Viator
Tour in 2CV Paris 1h,Excellent,3 ratings,£84,1 hour,Viator
Paris Latin Quarter Food Tour,Excellent,3 ratings,£84,3 hours,Viator
Champagne Masterclass & gourmet tour in Paris,Excellent,3 ratings,£93,3 hours,Viator
Louvre Museum Must-Sees: Semi-Private Guided Tour,Excellent,3 ratings,£73,1-2 hours,Viator
"Giverny Afternoon Small Group Tour with Monet's House, Gardens & Museum",Excellent,3 ratings,£153,5 hours,Viator
Private Dark Chocolate Tasting Tour in Paris,Excellent,3 ratings,£104,2 hours,Viator
Secret Food Tours Paris Saint Germain w/ Private Tour Option,Excellent,3 ratings,£100,3-4 hours,Viator
Private Paris guided Tour by classic 1970 Mercedes S Class,Excellent,3 ratings,£110,1 hour,Viator
Welcome to Paris,Excellent,3 ratings,£128,2-3 hours,Viator
"Paris: Loire Valley Chambord Castle, Wine Tasting & Lunch",Excellent,3 ratings,£246,11 hours,GetYourGuide
"WW1 Somme Battlefields - Thiepval, Beaumont Hamel - Day trip from Paris",Excellent,3 ratings,£184,12-13 hours,Viator
visiting the masterpieces of impressionists at Orsay museum,Excellent,3 ratings,£179,1-2 hours,Viator
Jewish History Private Tour,Excellent,3 ratings,£173,2 hours,Viator
OMAHA U.S Landing Beach - Day trip from Paris to Normandy in a small group,Excellent,3 ratings,£187,13-14 hours,Viator
Medieval Paris Private Tour,Excellent,3 ratings,£173,2 hours,Viator
Discover the secrets of the Louvre,Excellent,3 ratings,£161,2-3 hours,Viator
Louvre Essential Private tour,Excellent,3 ratings,£171,3 hours,Viator
Neoclassical Paris Architecture 2-Hour Private Walking Tour,Excellent,3 ratings,£173,2 hours,Viator
"Montmartre, in the footsteps of painters.",Excellent,3 ratings,£184,2-4 hours,Viator
Paris discovery tour + Louvre Museum (Full day 6h),Excellent,3 ratings,£169,6 hours,Viator
"Paris Christmas Tour with a Local Guide, Custom & Private ★★★★★",Excellent,3 ratings,£210,3 hours,Viator
Skip-the-line Paris Orsay Museum Private Guided Tour w Kid-Friendly Activities,Excellent,3 ratings,£195,2-3 hours,Viator
Louvre Museum Private Tour,Excellent,3 ratings,£272,2-3 hours,Viator
1-hour Photoshoot at the Eiffel Tower Trocadero Paris,Excellent,3 ratings,£221,1 hour,Viator
The Impressionists at Orsay - skip the line,Excellent,3 ratings,£203,2-3 hours,Viator
Paris Photo Shoot for Families and Couples,Excellent,3 ratings,£258,1 hour,Viator
Inside Musée d'Orsay Discovery Private Tour,Excellent,3 ratings,£307,2 hours,Viator
"Montmartre, La Boheme! A unique experience in a 2CV and by foot!",Excellent,3 ratings,£322,3-4 hours,Viator
Wine tasting tour in Loire Valley with castle visits and lunch,Excellent,3 ratings,£345,9-11 hours,Viator
Giverny & Auvers sur Oise Private Day Trip with Monet & Van Gogh Tour from Paris,Excellent,3 ratings,£329,9 hours,Viator
Notre Dame quartier & Ile de la Cité Private 2-Hour Walking Tour in Paris,Excellent,3 ratings,£44,2 hours,Viator
Louvre Private Skip-the-Line Tour by an Art Historian Guide with Hotel Pickup,Excellent,3 ratings,£417,2 hours,Viator
"Versailles Private Day Excursion with Palace, Gardens & Trianon",Excellent,3 ratings,£393,9 hours,Viator
Special evening outing,Excellent,3 ratings,£55,2-3 hours,Viator
Loire Valley Two Castles in One Day - Chambord & Clos Lucé Day Trip from Paris,Excellent,3 ratings,£383,10-12 hours,Viator
LOUVRE & ORSAY PRIVATE TOUR - Skip the line & Local Expert guide,Excellent,3 ratings,£424,4 hours,Viator
Skip-the-line Invalides Dome Louis XIV & Napoleon Tour - Semi-Private 8ppl Max,Excellent,3 ratings,£89,2 hours,Viator
Paris Photo Shoot for Families and Couples (30 minutes),Excellent,3 ratings,£98,30 minutes,Viator
Private Louvre Teens Tour with skip-the-line Tickets,Excellent,3 ratings,£425,2-3 hours,Viator
Musée d'Orsay VIP Highlights Tour with Gourmet Lunch,Excellent,3 ratings,£94,2-3 hours,Viator
4 hours Private Van Tour in Paris,Excellent,3 ratings,£510,4 hours,Viator
WW1 Somme Battlefields - Private tour from Paris aboard a Van (2 pax),Excellent,3 ratings,£502,12-13 hours,Viator
Sancerre & Pouilly-Fumé Wine Tour with Local Goats' Cheese and the River Loire,Excellent,3 ratings,£153,8 hours,Viator
3 Loire Valley Castles Small-group by Minivan with Tickets & Wine Tasting,Excellent,3 ratings,£200,13 hours,Viator
A day in LISIEUX following the footsteps of SANTA TERESA from Paris,Excellent,3 ratings,£230,7-8 hours,Viator
Dining Cruising the Seine & Eiffel’s Glittering Tower’s Summit Private Tour,Excellent,3 ratings,£569,4 hours,Viator
Guided Private Tour of Normandy D-Day Beaches and Battlefields from Paris,Excellent,3 ratings,£323,12 hours,Viator
Private Family Tour of Louvre Museum. Specially designed for kids!,Excellent,3 ratings,£331,2 hours,Viator
Zoo Of Beauval - Private Trip,Excellent,3 ratings,£705,11 hours,Viator
VAUX-LE-VICOMTE: Candlelit evenings (every Sat. from May 7th to Sept. 24th 2022),Excellent,3 ratings,£366,5 hours,Viator
Private Full-Day Paris City Tour with Pickup,Excellent,3 ratings,£398,10 hours,Viator
Paris Your Perfect 2-Day Stay Custom Private Tour,Excellent,3 ratings,£777,2 days,Viator
Giverny & Versailles Day Trip with Lunch & Hotel Transfer from Paris,Excellent,3 ratings,£560,9 hours,Viator
Giverny Auvers sur Oise private tour,Excellent,3 ratings,£971,9 hours,Viator
Loire Valley Chateaux's from Paris,Excellent,3 ratings,"£1,154",10 hours,Viator
From Paris - WWII American Landing Beaches Discovery Private Tour,Excellent,3 ratings,"£1,460",11 hours,Viator
Two Days Private Tour to Normandy from Paris,Excellent,3 ratings,"£2,084",2 days,Viator
Paris: History of Crime Smartphone Audio Guide Walking Tour,Excellent,2 ratings,£7,1 hour,GetYourGuide
Paris: Notre Dame Quarter & St. Chapelle Kids & Family Tour,Excellent,2 ratings,£60,2 hours,GetYourGuide
Eiffel Tower Guided Tour,Excellent,2 ratings,£31,2 hours,Viator
Montmartre in 1900 : Impressionist Art Walk (Small Group Tour),Excellent,2 ratings,£43,2-3 hours,Viator
Legends of Paris Night Free Walking Tour in Spanish,Excellent,2 ratings,£3,2 hours,Viator
Latin Quarter: Immersive podcast walk to discover La Sorbonne and the Pantheon,Excellent,2 ratings,£7,45 minutes,Viator
Virtual Tour: Paris Live! Revolution in the heart of Paris,Excellent,2 ratings,£9,45 minutes,Viator
Paris Highlights and Secrets Ultimate Bike Tour,Excellent,2 ratings,£55,4 hours,Viator
Gothic Paris - Castles & Cathedrals (Marais History Walk-Small Group Tour),Excellent,2 ratings,£47,2 hours,Viator
Hiking Adventure in Van Gogh's Footsteps,Excellent,2 ratings,£19,5-6 hours,Viator
Montmartre Bohemian Audio Guided Tour with Sacre Coeur Basilica,Excellent,2 ratings,£9,2 hours,Viator
Semi-Private Père Lachaise Cemetery Tour,Excellent,2 ratings,£51,2 hours,Viator
Guided tour of the Upper Town of Provins from € 15 to € 40 max / person,Excellent,2 ratings,£34,1-2 hours,Viator
Père Lachaise Cemetery Sex and Death Walking Tour,Excellent,2 ratings,£25,1-2 hours,Viator
Hidden water & secret villages: A self-guided audio tour around Parc Montsouris,Excellent,2 ratings,£6,1-2 hours,Viator
Eiffel Tower Second Floor Access Guided Visit,Excellent,2 ratings,£43,2-3 hours,Viator
Paris Original Bike Tour,Excellent,2 ratings,£30,1 hour,Viator
Bike the French Revolution in Paris,Excellent,2 ratings,£36,3 hours,Viator
Playful walk around the Latin Quarter,Excellent,2 ratings,£9,2 hours,Viator
Discover Montmartre and visit the Basilica of Sacré-Coeur,Excellent,2 ratings,£35,2 hours,Viator
Skip-the-line l'Orangerie Museum Guided Tour - Semi-Private 8ppl Max,Excellent,2 ratings,£89,2 hours,Viator
Day Bike Tour with Eiffel Tower Ticket and River Cruise,Excellent,2 ratings,£84,6 hours,Viator
"MONTMARTRE lifestyle, art and photo tour",Excellent,2 ratings,£64,3 hours,Viator
Centre Pompidou Paris Skip-The-Line Small-Group Guided Museum Tour,Excellent,2 ratings,£89,2-3 hours,Viator
Book your Amazing Photo Shoot in Paris,Excellent,2 ratings,£59,1 hour,Viator
"Le Marais, Metro and Indian Meal in Paris",Excellent,2 ratings,£101,3 hours,Viator
Paris by night by bike!,Excellent,2 ratings,£58,4 hours,Viator
Private Tour: Secrets of Notre Dame & Latin Quarter with a Local,Excellent,2 ratings,£72,2-3 hours,Viator
Classic Tour of Paris in 2CV CITROEN,Excellent,2 ratings,£54,1 hour,Viator
Private Walking Tour of Marais,Excellent,2 ratings,£106,3-4 hours,Viator
Photo shoot in the Eiffel Tower area,Excellent,2 ratings,£138,1 hour,Viator
Photoshoot by award winning filmmaker,Excellent,2 ratings,£135,2 hours,Viator
Private Les Puces de Saint Ouen Flea Market Tour in Paris with Local Expert,Excellent,2 ratings,£104,3 hours,Viator
Private tour Louvre By night,Excellent,2 ratings,£144,4 hours,Viator
Private Tour: Palace of Versailles Half-Day Tour from Paris,Excellent,2 ratings,£119,4-5 hours,Viator
Eiffel Tower Guided Tour with Illuminations Cruise & Lido Burlesque Show,Excellent,2 ratings,£125,1 day,Viator
Highlights & Hidden Gems of Sainte Chapelle: Private City Tour,Excellent,2 ratings,£117,3 hours,Viator
Paris: Full-Day Small Group Excursion to Versailles,Excellent,2 ratings,£243,9 hours,GetYourGuide
Private Full-Day Trip to Fontainebleau and Barbizon,Excellent,2 ratings,£154,11 hours,Viator
Verdun 1916 and Meuse Argonne 1918 including U.S War Cemetery in Romagne,Excellent,2 ratings,£208,13-14 hours,Viator
Make your tour in France an exceptional experience!,Excellent,2 ratings,£216,2-3 hours,Viator
Private Tour Louvre Skip the Line & Notre Dame: the Heart of Paris,Excellent,2 ratings,£218,3 hours,Viator
Paris Crazy Horse Meet a Dancer before the Show Experience,Excellent,2 ratings,£191,3 hours,Viator
Explore the collection at the Pompidou,Excellent,2 ratings,£184,2-3 hours,Viator
Paris Photography Tour with a Local Expert: Private & Personalized ★★★★★,Excellent,2 ratings,£240,3 hours,Viator
Paris: Montmartre and Sacre Coeur Private Tour for Kids and Families,Excellent,2 ratings,£178,2 hours,Viator
Etretat and Le Havre Small Group Day Trip from Paris,Excellent,2 ratings,£251,10 hours,Viator
30-Minute Private Vacation Photography Session with Local Photographer in Paris,Excellent,2 ratings,£225,30 minutes,Viator
Honfleur and Cote Fleurie Small Group Day Trip from Paris,Excellent,2 ratings,£234,9 hours,Viator
Orsay museum private tour,Excellent,2 ratings,£235,2 hours,Viator
Mont St-Michel Private Day Trip from Paris,Excellent,2 ratings,£211,14 hours,Viator
Giverny and Versailles Full Day Private Guided Tour wih Hotel Pickup,Excellent,2 ratings,£234,Free cancellation,Viator
Vacation Photographer in Paris,Excellent,2 ratings,£194,30 minutes,Viator
Honfleur and Pays d'Auge Small Group Day Trip from Paris,Excellent,2 ratings,£234,9 hours,Viator
Exclusive Wine Day Trip Loire Valley from Paris,Excellent,2 ratings,£340,11 hours,GetYourGuide
From Paris: Mont St Michel and Loire Valley 2 Day Tour,Excellent,2 ratings,£384,2 days,GetYourGuide
Private Tour : Welcome to the Louvre Museum,Excellent,2 ratings,£323,2 hours,Viator
4-hour private tour Montmartre & Marais,Excellent,2 ratings,£293,4 hours,Viator
Private Family Photo Shoot in Paris,Excellent,2 ratings,£322,1 hour,Viator
Paris Luxembourg Garden Wedding Vows Renewal Ceremony with Photo Shoot,Excellent,2 ratings,£248,1 hour,Viator
Paris Napoleon Walking Tour with an Historian Guide,Excellent,2 ratings,£320,3 hours,Viator
Île de la Cité - Sainte-Chapelle & Conciergerie Tour Private Tour,Excellent,2 ratings,£357,2-3 hours,Viator
CHARMING PARIS: Half day guided visit and photo reportage,Excellent,2 ratings,£368,3-4 hours,Viator
Montmartre’s heritage with specialties tasting Private Tour,Excellent,2 ratings,£345,2-3 hours,Viator
Fontainebleau Day Trip from Paris with a Local: Private & Personalized ★★★★★,Excellent,2 ratings,£450,8 hours,Viator
Paris only KOMBI tour,Excellent,2 ratings,£415,2-3 hours,Viator
Family Tour at the Musée d'Orsay,Excellent,2 ratings,£338,2 hours,Viator
Louvre Museum Private Skip-the-Line Visit with an Expert Art Historian Guide,Excellent,2 ratings,£383,2 hours,Viator
Paris City Tour & River Cruise with Luxury Roundtrip Transportation,Excellent,2 ratings,£425,4 hours,Viator
Paris Catacombs Private Tour with Top-rated Alberto Local Guide,Excellent,2 ratings,£441,2 hours,Viator
Paris Photoshoot tour with private car,Excellent,2 ratings,£476,2-3 hours,Viator
Paris Essentials 4-Hour Guided Walking Tour,Excellent,2 ratings,£50,3-4 hours,GetYourGuide
Paris: Notre Dame Virtual Reality Experience,Excellent,2 ratings,£18,35 minutes,GetYourGuide
Paris: Ticket for Cité de l'architecture & du patrimoine,Excellent,2 ratings,£8,Safety measures,GetYourGuide
Private Tour: Opera Garnier and Passages Couverts,Excellent,2 ratings,£520,5-6 hours,Viator
Paris Picturesque Vintage Rolls Royce Tour,Excellent,2 ratings,£510,2 hours,Viator
Latin District 2-Hour Private Tour: from the Middle Ages to Midnight in Paris,Excellent,2 ratings,£44,2 hours,Viator
From Paris: Versailles & Louvre Guided Tour with Lunch,Excellent,2 ratings,£183,8 hours,GetYourGuide
Provins Medieval City,Excellent,2 ratings,£138,6 hours,Viator
Giverny Monet's Garden and House. Private Tour by car.,Excellent,2 ratings,£680,7-8 hours,Viator
Secrets Of Paris With A Local Insider: Private & Personalised ★★★★★,Excellent,2 ratings,£174,3 hours,Viator
Private Giverny Roundtrip and Entrance Ticket from Paris,Excellent,2 ratings,£578,5 hours,Viator
The prestigious tour to not miss anything of Paris,Excellent,2 ratings,£674,7 hours,Viator
Half-Day Private Tour to Giverny from Paris,Excellent,2 ratings,£618,5 hours,Viator
Giverny with Minivan,Excellent,2 ratings,£113,4-5 hours,Viator
"Paris Private Tours By Locals, Kickstart Your Trip 100% Personalized",Excellent,2 ratings,£150,3 hours,Viator
Rouen Small Group Day Trip from Paris,Excellent,2 ratings,£208,9 hours,Viator
Versailles Private Half-Day Guided Tour from Paris,Excellent,2 ratings,£692,4 hours,Viator
Private Photo Session with a Local Photographer in Paris,Excellent,2 ratings,£194,30 minutes,Viator
Dinosaurs Family Tour in the Natural History Museum of Paris,Excellent,2 ratings,£254,1-2 hours,Viator
"Normandy D-Day Beaches Utah, Omaha, Pointe du Hoc Day Trip from Paris",Excellent,2 ratings,£468,10-12 hours,Viator
Loire Valley Private Day Tour Castles & Wines Discovery from Paris,Excellent,2 ratings,"£1,055",10-12 hours,Viator
Loire Valley Trip from Paris with Private Local Guide & Private Transportation,Excellent,2 ratings,"£1,296",12 hours,Viator
From Paris - Champagne and Reims UNESCO World Heritage Private Tour,Excellent,2 ratings,"£1,354",8 hours,Viator
Full Day Private Tour of Historical Normandy American Sites from Paris,Excellent,2 ratings,"£1,729",15 hours,Viator
From Paris: Day trip Transfer to Beauval Zoo,Excellent,1 rating,£55,1 day,GetYourGuide
Paris: Urban Art Murals Walking Tour with an Expert,Excellent,1 rating,£25,2 hours,GetYourGuide
Orsay Private Tour,Excellent,1 rating,£28,1-2 hours,GetYourGuide
Paris: Secret Gardens Walking Tour,Excellent,1 rating,£55,2 hours,GetYourGuide
Paris: 2-Hour Market Tour with Tastings,Excellent,1 rating,£60,2 hours,GetYourGuide
Paris: Sunrise Run & Sightseeing Small Group Tour,Excellent,1 rating,£29,2 hours,GetYourGuide
Paris at Christmas: Festive Shopping Past and Present,Excellent,1 rating,£21,2 hours,GetYourGuide
Paris: Latin Quarter Guided Walking Tour in German,Excellent,1 rating,£17,2 hours,GetYourGuide
2h30 Audioguided Tour in Electric Scooter in Paris (App + GPS),Excellent,1 rating,£38,2-3 hours,Viator
Centre Pompidou Must-Sees of Modern Art Guided Tour,Excellent,1 rating,£52,2 hours,Viator
Louvre Skip-the-Line ticket with Digital Audioguide & Seine River Cruise,Excellent,1 rating,£33,2-12 hours,Viator
Passeggiata del Marais di Parigi con vera guida Italiana,Excellent,1 rating,£21,1-2 hours,Viator
Special Paris by bike.,Excellent,1 rating,£53,4 hours,Viator
Rise of Napoleon - Paris Guided Historic Walk,Excellent,1 rating,£25,2 hours,Viator
Eiffel Tower Skip the Line Ticket with French Crepe Tasting & Seine River Cruise,Excellent,1 rating,£43,3-4 hours,Viator
Run the Lights,Excellent,1 rating,£38,2 hours,Viator
"America's Founding Fathers in Paris, Walk in their Footsteps (Small Group Tour)",Excellent,1 rating,£38,2 hours,Viator
Paris Private Tour: The Ghost of Edith Piaf Exploration Game,Excellent,1 rating,£4,1 hour,Viator
"Book your ""City-Night-Pass"" and board the Discobus!",Excellent,1 rating,£38,1-2 hours,Viator
Small Group Tour - Paris Sweet Tooth Stroll,Excellent,1 rating,£44,1-2 hours,Viator
America's Founding Fathers in Paris Guided Historic Walk,Excellent,1 rating,£25,2 hours,Viator
Montmartre Walking Tour and Wine Tasting,Excellent,1 rating,£34,2 hours,Viator
